"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Kaygorodov, I.; Mashurov, F.","Kaygorodov, Ivan (27368104500); Mashurov, Farukh A. (57210822628)","27368104500; 57210822628","Mutations of perm algebras","2024","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas","118","4","166","","","1","10.1007/s13398-024-01663-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205227713&doi=10.1007%2Fs13398-024-01663-3&partnerID=40&md5=03b7a7d2e1f7ef0901aa2135f18f4c32","Universidade da Beira Interior, Covilha, Castelo Branco, Portugal; Moscow Center for Fundamental and Applied Mathematics, Moscow, Moscow, Russian Federation; Saint Petersburg State University, Saint Petersburg, Russian Federation; SDU University, Kaskelen, Almaty, Kazakhstan","Kaygorodov, Ivan, Universidade da Beira Interior, Covilha, Castelo Branco, Portugal, Moscow Center for Fundamental and Applied Mathematics, Moscow, Moscow, Russian Federation, Saint Petersburg State University, Saint Petersburg, Russian Federation; Mashurov, Farukh A., SDU University, Kaskelen, Almaty, Kazakhstan","We describe mutation elements in free perm algebras. Moreover, we construct a base of free mutation of free perm algebra. Using Cohn’s criterion for the speciality of algebras, we show that there is an exceptional homomorphic image of mutation of free perm algebras. © The Author(s) under exclusive licence to The Royal Academy of Sciences, Madrid 2024.","17A30; 17B01; 17B35; Mutation of algebras; Perm algebras; Polynomial identities","Inflation; 17a30; 17b01; 17b35; Mutation of algebra; Perm algebra; Polynomial identities; S-criterion; Algebra","","","","","","","","Article","Final","","Scopus","2-s2.0-85205227713"
"Sadyk, U.; Yerzhan, M.; Baimukashev, R.; Turan, C.","Sadyk, Ualikhan (57460291500); Yerzhan, Makhambet (59255906700); Baimukashev, Rashid (58414975800); Turan, Cemil (56246423000)","57460291500; 59255906700; 58414975800; 56246423000","Comparative analysis of machine learning approaches in Kazakh banknote classification","2024","Bulletin of Electrical Engineering and Informatics","13","5","","3552","3567","4","10.11591/eei.v13i5.8004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200974099&doi=10.11591%2Feei.v13i5.8004&partnerID=40&md5=9e6370b48d6ca0a2ca8bbc1e0111ccf5","Department of Сomputer Science, SDU University, Kaskelen, Almaty, Kazakhstan","Sadyk, Ualikhan, Department of Сomputer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Yerzhan, Makhambet, Department of Сomputer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Baimukashev, Rashid, Department of Сomputer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Turan, Cemil, Department of Сomputer Science, SDU University, Kaskelen, Almaty, Kazakhstan","Nowadays, smartphones seamlessly blend into every aspect of our lives, including as handheld assistants for individuals with disabilities. Therefore, this research addresses the need for a robust system that can classify Kazakh banknotes. By capitalizing on the availability of smartphones and the ability to integrate detectors with classifiers this study introduces classifiers of Kazakh banknote images specifically designed for banknotes ranging from 500 KZT to 20,000 KZT. It compares traditional and hybrid machine learning (ML) approaches, utilizing a dataset of diverse banknote images, aiming for both lightweight and high accuracy. Competitive performance is demonstrated by the traditional approach, enhanced by thoughtful feature engineering. The hybrid approach, utilizing features from a pre-trained ResNet-18 model, showcases remarkable accuracy and robustness. Evaluation metrics reveal significant achievements, with the traditional approach attaining 94.00% accuracy and the hybrid approach excelling at 99.11%. Model stacking, combining classifiers from both approaches, outperforms individual classifiers, achieving 95.00% and 99.55% accuracy for the traditional and hybrid ML approaches, respectively. Our methodology’s comparable outcome in classifying Thai banknotes and coffee beans roasting levels demonstrates their versatility in image classification tasks that rely on color differentiation, showcasing the potential beyond banknote recognition. © 2024, Institute of Advanced Engineering and Science. All rights reserved.","Banknote classification; Hybrid approach; Kazakh banknotes; Machine learning; Model stacking; Traditional approach; Visual impairments","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Suleyman Demirel University, SDU, (2023-2024)","This work is supported by funding from the Ministry of Science and Higher Education of the Republic of Kazakhstan, IRN AP19675614. This work is supported by the internal grant of SDU University for 2023-2024.","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200974099"
"Kassabek, S.A.; Suragan, D.","Kassabek, Samat A. (59461109000); Suragan, Durvudkhan (57195200555)","59461109000; 57195200555","Retraction note: A heat polynomials method for the two-phase inverse Stefan problem (Computational and Applied Mathematics, (2023), 42, 3, (129), 10.1007/s40314-023-02259-0)","2024","Computational and Applied Mathematics","43","6","382","","","0","10.1007/s40314-024-02888-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201797822&doi=10.1007%2Fs40314-024-02888-z&partnerID=40&md5=e84ea57a88ce2dc809c817a56e7230a3","Department of Mathematics, Nazarbayev University, Astana, Kazakhstan; Department of Computational and Data Science, Astana IT University, Astana, Kazakhstan; Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Kassabek, Samat A., Department of Mathematics, Nazarbayev University, Astana, Kazakhstan, Department of Computational and Data Science, Astana IT University, Astana, Kazakhstan, Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Suragan, Durvudkhan, Department of Mathematics, Nazarbayev University, Astana, Kazakhstan","The Editor-in-Chief has retracted this article due to significant overlap with a previous publication by the same authors (Kassabek and Suragan, 2022). making this article redundant. Samat A. Kassabek and Durvudkhan Suragan do not agree with this retraction. © The Author(s) under exclusive licence to Sociedade Brasileira de Matemática Aplicada e Computacional 2024.","","","","","","","","","","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85201797822"
"Drensky, V.; Ismailov, N.; Mustafa, M.; Zhakhayev, B.","Drensky, Vesselin S. (6603826254); Ismailov, Nurlan A. (56273196000); Mustafa, Manat (57208471384); Zhakhayev, Bekzat K. (57201358968)","6603826254; 56273196000; 57208471384; 57201358968","Free bicommutative superalgebras","2024","Journal of Algebra","652","","","158","187","2","10.1016/j.jalgebra.2024.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192333675&doi=10.1016%2Fj.jalgebra.2024.04.007&partnerID=40&md5=060251fd611ccef87aa6bb1cd81e9dfa","Institute of Mathematics and Informatics Bulgarian Academy of Sciences, Sofia, Bulgaria; Astana IT University, Astana, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Department of Mathematics, Nazarbayev University, Astana, Kazakhstan; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","Drensky, Vesselin S., Institute of Mathematics and Informatics Bulgarian Academy of Sciences, Sofia, Bulgaria; Ismailov, Nurlan A., Astana IT University, Astana, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan; Mustafa, Manat, Department of Mathematics, Nazarbayev University, Astana, Kazakhstan; Zhakhayev, Bekzat K., Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","We introduce the variety B<inf>sup</inf> of bicommutative superalgebras over an arbitrary field of characteristic different from 2. The variety consists of all nonassociative Z<inf>2</inf>-graded algebras satisfying the polynomial super-identities of super- left- and right-commutativity x(yz)=(−1)x‾y‾y(xz) and (xy)z=(−1)y‾z‾(xz)y, where u‾∈{0,1} is the parity of the homogeneous element u. We present an explicit construction of the free bicommutative superalgebras, find their bases as vector spaces and show that they share many properties typical for ordinary bicommutative algebras and super-commutative associative superalgebras. In particular, in the case of free algebras of finite rank we compute the Hilbert series and find explicitly its coefficients. As a consequence we give a formula for the codimension sequence. We establish an analogue of the classical Hilbert Basissatz for two-sided ideals. We see that the Gröbner-Shirshov bases of these ideals are finite, the Gelfand-Kirillov dimensions of finitely generated bicommutative superalgebras are nonnegative integers and the Hilbert series of finitely generated graded bicommutative superalgebras are rational functions. Concerning problems studied in the theory of varieties of algebraic systems, we prove that the variety of bicommutative superalgebras satisfies the Specht property. In the case of characteristic 0 we compute the sequence of cocharacters. © 2024 The Author(s)","Bicommutative superalgebras; Cocharacters; Codimensions; Free bicommutative superalgebras; Gröbner-Shirshov basis; Hilbert Basissatz; Hilbert series; Specht property","","Ministry of Education and Science of the Republic of Kazakhstan, (AP14870282); Ministry of Education and Science of the Republic of Kazakhstan; Nazarbayev University, NU, (021220FD3851); Nazarbayev University, NU","The research of N. Ismailov and B. Zhakhayev was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP14870282) and those of M. Mustafa by the Nazarbayev University Faculty Development Competitive Research Grant 021220FD3851.","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192333675"
"Dairbekov, N.S.; Penkin, O.M.; Savasteev, D.V.","Dairbekov, Nurlan S. (6603301056); Penkin, Oleg M. (6602264669); Savasteev, Denis V. (55351816200)","6603301056; 6602264669; 55351816200","On Removable Singularities of Harmonic Functions on a Stratified Set","2024","Doklady Mathematics","110","1","","297","300","1","10.1134/S1064562424601379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205326723&doi=10.1134%2FS1064562424601379&partnerID=40&md5=123e0e737627c7765aa6186ec446af35","Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Voronezhskiy Gosudarstvenniy Universitet, Voronezh, Voronezh Oblast, Russian Federation","Dairbekov, Nurlan S., Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan; Penkin, Oleg M., Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, Voronezhskiy Gosudarstvenniy Universitet, Voronezh, Voronezh Oblast, Russian Federation; Savasteev, Denis V., Voronezhskiy Gosudarstvenniy Universitet, Voronezh, Voronezh Oblast, Russian Federation","Abstract: We consider sets removable for bounded harmonic functions on a stratified set with flat interior strata. It is proved that relatively closed sets of finite Hausdorff -measure are removable for bounded harmonic functions on an n-dimensional stratified set satisfying the strong sturdiness condition. © Pleiades Publishing, Ltd. 2024. ISSN 1064-5624, Doklady Mathematics, 2024, Vol. 110, No. 1, pp. 297–300. Pleiades Publishing, Ltd., 2024. ISSN 1064-5624, Doklady Mathematics, 2024. Pleiades Publishing, Ltd., 2024.","Harnack inequality; mean value; soft Laplacian; stratified measure","","Ministry of Education and Science of the Republic of Kazakhstan, (AP14871251); Ministry of Education and Science of the Republic of Kazakhstan","This work was supported by the Ministry of Science and Higher Education of the Republic of Kazakhstan, project AP14871251.","","","","","","Article","Final","","Scopus","2-s2.0-85205326723"
"Kadyrov, S.; Kazin, A.; Mashurov, F.","Kadyrov, Shirali (36844229300); Kazin, Aiken (59305206400); Mashurov, Farukh A. (57210822628)","36844229300; 59305206400; 57210822628","Semi-Regular Continued Fractions with Fast-Growing Partial Quotients","2024","Fractal and Fractional","8","8","436","","","1","10.3390/fractalfract8080436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202598302&doi=10.3390%2Ffractalfract8080436&partnerID=40&md5=e3ec4585f6ad14db6235cf3c7704176c","Faculty of Science and Technology, Oxus University, Tashkent, Uzbekistan; Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Shenzhen International Center for Mathematics, Southern University of Science and Technology, Shenzhen, Guangdong, China","Kadyrov, Shirali, Faculty of Science and Technology, Oxus University, Tashkent, Uzbekistan; Kazin, Aiken, Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Mashurov, Farukh A., Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan, Shenzhen International Center for Mathematics, Southern University of Science and Technology, Shenzhen, Guangdong, China","In number theory, continued fractions are essential tools because they provide distinct representations of real numbers and provide information about their characteristics. Regular continued fractions have been examined in great detail, but less research has been carried out on their semi-regular counterparts, which are produced from the sequences of alternating plus and minus ones. In this study, we investigate the structure and features of semi-regular continuous fractions through the lens of dimension theory. We prove a primary result about the Hausdorff dimension of number sets whose partial quotients increase more quickly than a given pace. Furthermore, we conduct numerical analyses to illustrate the differences between regular and semi-regular continued fractions, shedding light on potential future directions in this field. © 2024 by the authors.","box dimension; convergents; dimension theory; Hausdorff dimension; number theory; partial quotients; semi-regular continued fractions","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19676669); Ministry of Education and Science of the Republic of Kazakhstan","This research was funded by the Ministry of Science and Higher Education of the Republic of Kazakhstan within the framework of project AP19676669.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85202598302"
"Ruzhansky, M.; Yessirkegenov, N.","Ruzhansky, Michael V. (6603327173); Yessirkegenov, Nurgissa Amankeldiuli (56368611100)","6603327173; 56368611100","Hardy–Sobolev–Rellich, Hardy–Littlewood–Sobolev and Caffarelli–Kohn–Nirenberg Inequalities on General Lie Groups","2024","Journal of Geometric Analysis","34","7","223","","","3","10.1007/s12220-024-01614-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191726379&doi=10.1007%2Fs12220-024-01614-9&partnerID=40&md5=6eb22ce7444964e410ac169e295caadf","Department of Mathematics: Analysis, Universiteit Gent, Ghent, VOV, Belgium; School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","Ruzhansky, Michael V., Department of Mathematics: Analysis, Universiteit Gent, Ghent, VOV, Belgium, School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; Yessirkegenov, Nurgissa Amankeldiuli, SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","In this paper, we establish a number of geometrical inequalities such as Hardy, Sobolev, Rellich, Hardy–Littlewood–Sobolev, Caffarelli–Kohn–Nirenberg, Gagliardo-Nirenberg inequalities and their critical versions for an ample class of sub-elliptic differential operators on general connected Lie groups, which include both unimodular and non-unimodular cases in compact and noncompact settings. We also obtain the corresponding uncertainty type principles. © The Author(s) 2024.","Caffarelli–Kohn–Nirenberg inequality; Hardy inequality; Hardy–Littlewood–Sobolev inequality; Lie groups; Rellich inequality; Sobolev embeddings; Sobolev spaces","","Fonds Wetenschappelijk Onderzoek, FWO; Ministry of Education and Science of the Republic of Kazakhstan, (AP14871691); Ministry of Education and Science of the Republic of Kazakhstan; Engineering and Physical Sciences Research Council, EPSRC, (EP/R003025/2); Engineering and Physical Sciences Research Council, EPSRC; Bijzonder Onderzoeksfonds UGent, BOF, (01M01021); Bijzonder Onderzoeksfonds UGent, BOF","This research is funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP14871691) and by the FWO Odysseus 1 grant G.0H94.18N: Analysis and Partial Differential Equations. MR was also supported by the EPSRC grant EP/R003025/2 and by the Methusalem programme of the Ghent University Special Research Fund (BOF) (Grant number 01M01021)","","","","","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191726379"
"Ruzhansky, M.; Yessirkegenov, N.","Ruzhansky, Michael V. (6603327173); Yessirkegenov, Nurgissa Amankeldiuli (56368611100)","6603327173; 56368611100","Hypoelliptic functional inequalities","2024","Mathematische Zeitschrift","307","2","22","","","4","10.1007/s00209-024-03493-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191836509&doi=10.1007%2Fs00209-024-03493-w&partnerID=40&md5=e984eafc3cebd98d07ed72934cbe3480","Department of Mathematics: Analysis, Universiteit Gent, Ghent, VOV, Belgium; School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","Ruzhansky, Michael V., Department of Mathematics: Analysis, Universiteit Gent, Ghent, VOV, Belgium, School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; Yessirkegenov, Nurgissa Amankeldiuli, SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","In this paper we derive a variety of functional inequalities for general homogeneous invariant hypoelliptic differential operators on nilpotent Lie groups. The obtained inequalities include Hardy, Sobolev, Rellich, Hardy–Littllewood–Sobolev, Gagliardo–Nirenberg, Caffarelli–Kohn–Nirenberg and Heisenberg–Pauli–Weyl type uncertainty inequalities. Some of these estimates have been known in the case of the sub-Laplacians, however, for more general hypoelliptic operators almost all of them appear to be new as no approaches for obtaining such estimates have been available. The approach developed in this paper relies on establishing integral versions of Hardy inequalities on homogeneous Lie groups, for which we also find necessary and sufficient conditions for the weights for such inequalities to be true. Consequently, we link such integral Hardy inequalities to different hypoelliptic inequalities by using the Riesz and Bessel kernels associated to the described hypoelliptic operators. © The Author(s) 2024.","22E30; 43A80; 46E35; Caffarelli–Kohn–Nirenberg inequality; Gagliardo–Nirenberg inequality; Graded Lie group; Hardy and critical Hardy inequalities; Hardy–Littlewood–Sobolev inequality; Rellich inequality; Rockland operator; Stratified Lie group","","Fonds Wetenschappelijk Onderzoek, FWO; Engineering and Physical Sciences Research Council, EPSRC, (EP/R003025/1, EP/R003025/2, EP/V005529/1); Ministry of Education and Science of the Republic of Kazakhstan, (AP14871691); Bijzonder Onderzoeksfonds UGent, BOF, (01M01021)","This research is funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP14871691) and by the FWO Odysseus 1 grant G.0H94.18N: Analysis and Partial Differential Equations. MR was supported by the EPSRC Grants EP/R003025/2 and EP/V005529/1, and by the Methusalem programme of the Ghent University Special Research Fund (BOF) (Grant number 01M01021).","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191836509"
"Anjam, Y.; Tabassum, S.; Arshad, M.; Rahman, M.; Tahir, M.A.","Anjam, Yasir Nadeem (55895175300); Tabassum, Saira (58983389100); Arshad, Muhammad Bilal (58828309100); Rahman, Mati ur (57218653063); Tahir, Muhammad Ateeq (58984037000)","55895175300; 58983389100; 58828309100; 57218653063; 58984037000","Mathematical insights of social media addiction: fractal-fractional perspectives","2024","Physica Scripta","99","5","055230","","","2","10.1088/1402-4896/ad348c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190233735&doi=10.1088%2F1402-4896%2Fad348c&partnerID=40&md5=439f9b8f760a0a0a7e9712bd7e8032b4","Department of Applied Sciences, National Textile University Faisalabad, Faisalabad, Pakistan; School of Mathematical Sciences, Jiangsu University, Zhenjiang, Jiangsu, China; Department of Mathematics and Computer Science, Lebanese American University, Beirut, Beirut Governorate, Lebanon; SDU University, Kaskelen, Almaty, Kazakhstan","Anjam, Yasir Nadeem, Department of Applied Sciences, National Textile University Faisalabad, Faisalabad, Pakistan; Tabassum, Saira, Department of Applied Sciences, National Textile University Faisalabad, Faisalabad, Pakistan; Arshad, Muhammad Bilal, Department of Applied Sciences, National Textile University Faisalabad, Faisalabad, Pakistan; Rahman, Mati ur, School of Mathematical Sciences, Jiangsu University, Zhenjiang, Jiangsu, China, Department of Mathematics and Computer Science, Lebanese American University, Beirut, Beirut Governorate, Lebanon; Tahir, Muhammad Ateeq, SDU University, Kaskelen, Almaty, Kazakhstan","The excessive use of social media has become a growing concern in the current century, with dependence on these platforms developing into a complex behavioral addiction. Addressing this issue requires the employment of well-directed and inclusive efforts. In pursuit of continuous development in existent strategies, this article presents a non-linear deterministic mathematical model that encapsulates the dynamics of social media addiction within a population. The proposed model incorporates the fractal-fractional order derivative in the sense of the Caputo operator. The objectives of this research are attained by groping the dynamics of the social media addiction model through the stratification of the population into five compartments: susceptible individuals, exposed individuals, addicted individuals, recovery individuals, and those who have quit using social media. The validity of the devised model is established by proving the existence and uniqueness of the solution within the framework of the fixed-point theory. The Ulam-Hyer’s stability is established through nonlinear functional analysis, perturbing the problem with a small factor. Utilizing the Adam Bashforth numerical scheme, we obtain numerical solutions, which we validate through MATLAB simulations. Additionally, we explore the application of artificial neural networks (ANNs) to approximate solutions, presenting a significant innovation in this domain. We propose the adoption of this novel method for solving integral equations that elucidate the dynamics of social media addiction, surpassing traditional numerical methods. Numerical results are illustrated across various fractional orders and fractal dimensions, with comparisons made against integer orders. Our study indicates that ANN outperforms the Adams-Bashforth algorithm, offering a dependable approach to problem-solving. Throughout the article, we underscore the competitive advantage of our proposed strategy, providing a more nuanced understanding of the complex dynamics outlined in the model. © 2024 IOP Publishing Ltd.","fixed-point theory; fractal-fractional derivative; numerical simulation; social media addiction; Ulam-Hyers stability","Competition; Complex networks; Dynamics; Fixed point arithmetic; Fractal dimension; Integral equations; MATLAB; Numerical methods; Social networking (online); Topology; 'current; Adams-Bashforth; Continuous development; Fixed point theory; Fractal-fractional derivative; Fractional derivatives; Non linear; Social media; Social medium addiction; Ulam-hyers stability; Neural networks","","","","","","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85190233735"
"Zambarnaya, T.; Baizhanov, B.","Zambarnaya, Tatyana Sergeevna (57202626847); Baizhanov, Bektur Sembiuly (8251062900)","57202626847; 8251062900","Notes on -Ary Theories","2024","Mathematical Notes","115","3-4","","647","649","0","10.1134/S0001434624030386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197558805&doi=10.1134%2FS0001434624030386&partnerID=40&md5=5fc677f682ee1291b86e7861dc1dc015","Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","Zambarnaya, Tatyana Sergeevna, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Baizhanov, Bektur Sembiuly, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan","[No abstract available]","-ary theory; -ary type; small theory","","Ministry of Education and Science of the Republic of Kazakhstan, (AP09058169); Ministry of Education and Science of the Republic of Kazakhstan","This work was supported by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (grant no. AP09058169).","","","","","","Article","Final","","Scopus","2-s2.0-85197558805"
"Mashurov, F.; Sartayev, B.K.","Mashurov, Farukh A. (57210822628); Sartayev, B. K. (57210558545)","57210822628; 57210558545","Metabelian Lie and perm algebras","2024","Journal of Algebra and its Applications","23","4","2450065","","","10","10.1142/S0219498824500658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133866468&doi=10.1142%2FS0219498824500658&partnerID=40&md5=6d89fd4dcb257b1dc38468d2df23439d","SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation","Mashurov, Farukh A., SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Sartayev, B. K., Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation, ","It is well known that any Lie algebra can be embedded into an associative algebra. We prove that any metabelian Lie algebra can be embedded into an algebra in the subvariety of perm algebras, i.e. associative algebras with the identity abc - acb = 0. In addition, a technical method to construct the universal enveloping perm algebra for a metabelian Lie algebra is given. © 2024 World Scientific Publishing Company.","Gröbner bases; Lie and Jordan elements; Perm algebras; polynomial identities","","","","","","","","","Article","Final","","Scopus","2-s2.0-85133866468"
"Baimukashev, R.; Kadyrov, S.; Turan, C.","Baimukashev, Rashid (58414975800); Kadyrov, Shirali (36844229300); Turan, Cemil (56246423000)","58414975800; 36844229300; 56246423000","Systematic Survey of Deep Fuzzy Computer Vision in Biomedical Research","2024","Fuzzy Information and Engineering","16","3","","220","243","2","10.26599/FIE.2024.9270043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210479085&doi=10.26599%2FFIE.2024.9270043&partnerID=40&md5=c388a78a6dc112d3e92e23a5b035461d","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","Baimukashev, Rashid, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Turan, Cemil, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","This systematic survey explores the landscape of fuzzy computer vision techniques in biomedical research using articles from the Scopus database over the past decade. With a focus on methodologies, applications, and challenges, the survey aims to guide future research at the intersection of fuzzy logic and computer vision in biomedicine. Emphasizing applications such as dental image analysis and brain tumor detection, the paper showcases the collaborative potential of deep learning and fuzzy logic in enhancing biomedical image analysis. Despite notable advancements, challenges like model interpretability and scalability persist. The survey concludes by proposing future research directions, underscoring the pivotal role of fuzzy computer vision in advancing biomedical research. © 2009 Tsinghua University Press.","algorithm; artificial intellegence; biomedical research; deep learning; deep neural networks; fuzzy computer vision; image analysis","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Ministry of Education and Science of the Republic of Kazakhstan","This research was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. IRN AP19675614).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210479085"
"Dauletiyarova, A.; Verbovskiy, V.V.","Dauletiyarova, A. B. (57224538877); Verbovskiy, Viktor Valerievich (6504009089)","57224538877; 6504009089","ON THE NUMBER OF COUNTABLE MODELS OF CONSTANT AND UNARY PREDICATES EXPANSIONS OF THE DENSE MEET-TREE THEORY","2024","Siberian Electronic Mathematical Reports","21","2","","755","770","2","10.33048/semi.2024.21.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207343156&doi=10.33048%2Fsemi.2024.21.051&partnerID=40&md5=b8ff7d0ee89fe0bdb52c2281e6adcbf9","SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Mathematics and Mathematical Modelling, Almaty, Kazakhstan","Dauletiyarova, A. B., SDU University, Kaskelen, Almaty, Kazakhstan; Verbovskiy, Viktor Valerievich, Institute of Mathematics and Mathematical Modelling, Almaty, Kazakhstan","In the paper, we investigate Ehrenfeucht theories, that is, theories which have nitely many countable models but which are not countably categorical. More precisely, we count all possible numbers of countable models of the theory DMT of dense meet-trees expanded by several sequences of constants including decreasing ones and by unary predicates with nite realizations. Also, we study the realizations of models over a certain set of formulas based on the Rudin-Keisler preorders on models. © 2024 Dauletiyarova A.B., Verbovskiy V.V.","Constant expansion; Ehrenfeucht theory; Rudin-Keisler preorder; small theory; the number of countable models; the number of limit models; the number of prime models","","Ministerstwo Edukacji i Nauki, MNiSW, (BR20281002); Ministerstwo Edukacji i Nauki, MNiSW","Dauletiyarova, A.B., Verbovskiy, V.V. On the number of countable models of constant and unary predicates expansions of the dense meet-tree theory. \u00A9 2024 Dauletiyarova A.B., Verbovskiy V.V.. The work is supported by CS of MSHE of RK (grant BR20281002 Fundamental research in mathematics and mathematical modeling ). Received June, 30, 2024, Published October, 23, 2024.","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207343156"
