Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO.1,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign.1,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,Unnamed: 78
J,"Kozhakhmet, Sanat; Boranbayeva, Ainur; Gassanova, Amina",,,,"; Boranbaeva, Ainur/AAZ-5529-2021; Kozhakhmet, Sanat/ABE-6980-2021","Gassanova, Amina/0000-0001-7816-4556; Kozhakhmet, Sanat/0000-0002-2411-4622",,,,,"The interplay of access to organisational resources, firm innovativeness, and cooperative norms in technology transfer: testing a moderated mediation model",,,,,,,,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,,,,36.0,3,,,486,500,,,,10.1080/09537325.2022.2037543,,,,,FEB 2022,,Article,MAR 3 2024,2024,"In recent decades, many developing countries have launched transfer initiatives to develop their infrastructure, economy, and standard of living because they have not had the knowledge and technical expertise to implement large and complex infrastructure projects. Therefore, scholars have examined the technology transfer process from various perspectives. However, there is still a lack of understating of how access to organisational resources may indirectly relate to the technology transfer process. Thus, the current study aims to address these limitations by examining how firm innovativeness mediates between access to organisational resources and international technology transfer. Based on social exchange theory and using a resource-based view, we aim to assess the potential mediating role of firm innovativeness and the moderating role of cooperative norms. Data were collected from 150 middle and top managers at innovative agricultural companies in Kazakhstan. The results show that firm innovativeness mediates access to organisational resources and technology transfer. Moreover, the moderating role of cooperative norms on the path between firm innovativeness and technology transfer was proved.",,,,,,,,,1,0,0,0,0,0,1,2,21,0953-7325,1465-3990,,,,,,,,,,,,,,2022-03-04,WOS:000757189800001,,
J,"Shanbayev, Maxat; Turgumbayeva, Khalima; Blumberga, Dagnija; Aipenova, Aziza; Beisekova, Tuleuzhan",,,,"Shanbayev, Maxat/ABE-7349-2021; Blumberga, Dagnija/H-5734-2016; Aipenova, Aziza/A-9285-2015","Aipenova, Aziza/0000-0002-5104-7429",,,,,Environmental and Economic Advantages of Disposal of Phosphoric Industry Waste,,,,,,,,ENVIRONMENTAL AND CLIMATE TECHNOLOGIES,,,,26.0,1,,,143,154,,,,10.2478/rtuect-2022-0012,,,,,,,Article,JAN 1 2022,2022,"The article presents the types and classification of waste from the phosphorus industry of the Zhambyl region of the Republic of Kazakhstan. Waste is classified by its use as recyclable materials for construction materials. The results of a comparative assessment of the physical, chemical and structural properties of the phosphorus industry waste are presented. The article shows that all studied types of waste have astringent properties and can be used as building materials. In this work, a study of the properties of large-tonnage wastes of the phosphorus industry was carried out: 1) electrothermophosphoric granular slag (granulated slag); 2) phosphogypsum; 3) overburden. A technology has been developed for producing non-fired binders from waste of the phosphorus industry and a methodology for designing the composition of raw mixtures of multicomponent building composites has been proposed.Pilot tests and calculation of technical and economic indicators have been carried out, which have shown the economic feasibility of producing a non-firing binder for the construction industry from phosphorus production waste.",,,,,,,,,1,0,0,0,0,0,1,0,3,1691-5208,2255-8837,,,,,,,,,,,,,,2022-03-31,WOS:000771668000001,,
J,"Gaipov, Davronzhon; Brownhill, Simon",,,,,"GAIPOV, DAVRONZHON/0000-0003-3012-8067; Brownhill, Simon/0000-0001-9155-5252",,,,,I don't like English; I don't like writing: A case study of EAL learner support in a secondary school in England,,,,,,,,ISSUES IN EDUCATIONAL RESEARCH,,,,31.0,3,,,760,781,,,,,,,,,,,Article,2021,2021,"The demand for quality practice to support learners with English as an additional language (EAL) in educational settings across the globe remains ever present (Cunningham, 2020). Educators in secondary schools are constantly seeking ways to enable learners with EAL to effectively access their teaching and to succeed in all areas of the curriculum. This paper focuses on the issues that learners with EAL face in the core subject of science. Findings, drawn from original research conducted in an English secondary school, suggest that a suite of practical strategies and professional support is needed to positively address issues associated with vocabulary and writing that learners with EAL encounter. The paper recognises the significance of these findings for international contexts such as Kazakhstan that are adopting a tri-lingual system of education and who seek to embrace the model of English-medium science education in their secondary schools.",,,,,,,,,3,0,0,0,0,0,4,0,3,1837-6290,,,,,,,,,,,,,,,2022-01-17,WOS:000734089200007,,
J,"Abdulla, Gabil; Hascelik, Baris; Palamutcu, Sema; Soydan, Ali Serkan",,,,"Palamutcu, Sema/AAG-7042-2019; Soydan, Ali/F-2503-2019","Palamutcu, Sema/0000-0001-9069-5499;",,,,,SYNTHESIS WORK ABOUT DRIVING MECHANISM OF A NOVEL ROTARY DOBBY MECHANISM,,,,,,,,TEKSTIL VE KONFEKSIYON,,,,20.0,3,,,218,224,,,,,,,,,,,Article,JUL-SEP 2010,2010,"In this paper synthesis works of a dobby driving mechanism had been explained. Dobby experimental set has been constructed sum of three main parts; driving mechanism, program reading and locking unit; and mechanism for elevating motion to the frames. Sythesis work of driving mechanism is completed using analytical and mathematical approaches. Studied dobby construction is a unique fourteen framed rotary dobby mechanism, design works and experimental set building processes are carried out as part of a research project in a collaborative work of Suleyman Demirel University and Pamukkale University. The most important innovation is in the motion transmission mechanism on the main shaft of the rotational dobby. Main shaft is driven by oscilational motion with dwell period. Constructional analysis and synthesis works carried out during the mechanical designing period of the dobby driving mechanism is given in detail. Proposed dobby design can be considered to be manufactured and advised to be used on most of the standart weaving machines.",,,,,,,,,11,4,0,0,0,0,15,0,17,1300-3356,,,,,,,,,,,,,,,2010-07-01,WOS:000285858300007,,
J,"Sairambay, Yerkebulan",,,,"Sairambay, Yerkebulan/NKO-6868-2025","Sairambay, Yerkebulan/0000-0003-2836-4765",,,,,HOW YOUNG PEOPLE USE NEW MEDIA IN POLITICAL PARTICIPATION IN RUSSIA AND KAZAKHSTAN,,,,,,,,LABORATORIUM-RUSSIAN REVIEW OF SOCIAL RESEARCH,,,,14.0,2,,,38,72,,,,10.25285/2078-1938-2022-14-2-38-72,,,,,,,Article,2022,2022,"In the study of political participation, the question arises of whether young people use new media as a political spectacle, virtual agora, or political coliseum. This article examines how young citizens use new media in political participation in Russia and Kazakhstan. Drawing on surveys conducted using Qualtrics (N = 2,400) and semistructured interviews (N = 90) carried out in 54 cities, towns, and villages in 2019-2020, I demonstrate that both Russian and Kazakhstani young people use new media as a mixture of political spectacle, virtual agora, and political coliseum. Results revealed that online activists and observers are increasing in numbers in both countries. However, based on the experiences (actions) and views (opinions) of respondents, the most numerous new-media users are apolitical people in Kazakhstan and observers (spectators) in Russia. I also found that for some young people intentional political disengagement and disenchantment might signify political contestation. Online and offline political participation in the forms of contestation is more frequently observed in urban than rural areas in both countries, and participation in alternative forms of protests such as monstrations seems to be becoming popular among young Russians and Kazakhstanis. My study sheds light on how new media are used in political participation in the postcommunist context, contributing to cross-national comparative studies of non-Western political systems.",,,,,,,,,2,0,0,0,0,0,4,1,3,2076-8214,2078-1938,,,,,,,,,,,,,,2023-01-16,WOS:000898910500002,,
J,"Yilmaz, Gokhan; Sahin, Yusuf",,,,"Yilmaz, Gokhan/AAS-2117-2020","Yilmaz, Gokhan/0000-0002-7835-1797",,,,,AN INTEGER LINEAR PROGRAMMING MODEL FOR THE THREE-DIMENSIONAL MARBLE CUTTING PROBLEM,,,,,,,,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,,,,10.0,1,,,658,669,,,,10.30798/makuiibf.1220059,,,,,,,Article,MAR 2023,2023,"The marble blocks extracted from the quarries in the form of cubes go through a number of cutting processes in the factories. Marble slabs are produced first by cutting these blocks. Then, marble tiles are obtained from these slabs, and the cutting process is completed. The cutting plan for each block is created according to the dimensions of the products demanded by the customers. Therefore, a different cutting plan is determined for each block. While creating the cutting plan, the focus is on obtaining the maximum product from marble blocks. In this study, an integer linear programming model that creates a cutting plan is proposed to maximize the utilization rate of marble blocks. This model was used in the production process of a real marble factory. As a result of the cutting plans created with the model, customer demands were met with a waste rate of 15.73%.",,,,,,,,,0,0,0,0,0,0,0,0,8,2149-1658,,,,,,,,,,,,,,,2023-05-04,WOS:000960855600028,,
J,"cirakli, Umit; Senol, Osman; Gokkaya, Durmus",,,,"Gökkaya, Durmuş/JJF-6146-2023; şenol, osman/HIR-8637-2022; CIRAKLI, UMIT/AAL-2640-2021","Gökkaya, Durmuş/0000-0002-6713-1748; şenol, osman/0000-0001-5626-2921; CIRAKLI, UMIT/0000-0002-3134-8830",,,,,THE EFFECT OF VACCINATION ON COVID-19 DEATHS: A RESEARCH ACCORDING TO COUNTRIES' INCOME GROUPS,,,,,,,,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,,,,10.0,1,,,101,116,,,,10.30798/makuiibf.1033552,,,,,,,Article,MAR 2023,2023,"This study aims to reveal the impacts of Covid-19 vaccination on Covid-19 based deaths in countries with different income levels. In this context, the study investigated data between 01.03.2021 and 08.08.2021 by Panel data analysis. In the research, firstly, countries were divided into three different categories according to income groups: low-income level, middle-income level and high-income level. Therefore, each country group was examined separately and three different econometric models were produced. According to the results of the research, a 1% increase in the population vaccinated will result in a 2.1% decrease in the number of deaths from Covid-19 in low-income countries, a 0.5% decrease in middle-income countries and a 13% decrease in high -income countries. According to the results of the research, it was concluded that vaccination will significantly reduce deaths from Covid-19. For this reason, it is recommended that people complete their vaccine doses as fast as possible.",,,,,,,,,0,0,0,0,0,0,0,1,3,2149-1658,,,,,,,,,,,,,,,2023-05-04,WOS:000960855600005,,
S,"Clipa, Otilia; Balta, Nuri; Mata, Liliana",,,,"Mata, Liliana/C-6114-2012; Clipa, Otilia/A-2835-2019; BALTA, NURİ/AAD-6854-2021",,"M, L",,,,Investigating the Relationship Between Internet Ethics and Motivational Orientations in Higher Education,,,,,,,,ETHICAL USE OF INFORMATION TECHNOLOGY IN HIGHER EDUCATION,,EAI-Springer Innovations in Communication and Computing,,,,,,65,81,,,,10.1007/978-981-16-1951-9_5,10.1007/978-981-16-1951-9,,,,,,Article; Book Chapter,2022,2022,"The study aimed to investigate the correlation between the students' type of motivation (extrinsic/intrinsic) and their attitude toward the ethics of the use of information technologies, as well as the individual differences in students' unethical Internet use concerning intrinsic and extrinsic motivational orientations. There was used the Internet-triggered Academic Dishonesty Scale to measure unethical behavior and the Work Preference Inventory to determine motivational orientations for university students. The results of this study indicate significant relationships between the motivational orientation factors and the Internet-triggered academic dishonesty behaviors. There are positive correlations between the dimensions of extrinsic motivation and the dimensions of unethical Internet use (reward and falsification, reward and misuse, recognition). As far as intrinsic motivation is concerned, there is only one positive correlation between pleasure and fraudulence. Depending on age, the research result shows that younger students are more prone to unethical behaviors on the Internet than older students. The study is expected to provide a significant contribution to the understanding of ethical Internet behaviors and to generate appropriate mechanisms for education and awareness of these issues by students and professors from higher education.",,,,,,,,,3,0,0,0,0,0,3,0,11,2522-8595,2522-8609,978-981-16-1951-9; 978-981-16-1950-2,,,,,,,,,,,,,2022-09-14,WOS:000842933400006,,
J,"Mukan, Moldir; Oskenbayev, Yessengali; Naderi, Niki; Dosmagambet, Yergali",,,,,"Mukan, Moldir/0000-0001-8930-2176",,,,,OIL PRICE FLUCTUATIONS AND STOCK MARKET BEHAVIOR IN A RESOURCE-DOMINANT ECONOMY: CASE OF KAZAKHSTAN,,,,,,,,SINGAPORE ECONOMIC REVIEW,,,,66.0,2,,,569,594,,,,10.1142/S0217590820430055,,,,,,,Article,MAR 2021,2021,"During the past 10 years, the oil market has been very unpredictable and volatile, which created uneasy conditions for market participants. The remedy of increasing oil prices is considered as a positive factor for the economy of the Republic of Kazakhstan as an oil-exporting country. Using structural decomposition of vector autoregression (VAR), this study aims to examine how the whole financial system in Kazakhstan is depending on oil prices. The results suggest that the strongest factor affecting the stock index is aggregate demand, and the impact of oil production shocks on the equity market is, on average, insignificant. Such shocks can be discounted while a fall in oil prices affects financial conditions as a whole, damaging the solvency of Kazakhstan, an oil-exporting country. With the positive shock of aggregate demand, the stock market index tends to rise. There is also an effect of oil price volatility on changes in currency value, which also influences the financial situation of the country. Moreover, oil-exporting countries such as Kazakhstan can secure and support their economies with the help of stable aggregate demand. The focus on Kazakhstan as one of the oil-producing countries is interesting for at least two reasons. Importantly, oil-exporting countries supply oil to really strong countries concentrating on manufacturing and other industries. Besides, this study provides useful insights for countries with similar economic conditions, including similar stock market development.",,,,,,,,,0,0,0,0,0,0,0,0,6,0217-5908,1793-6837,,,,,,,,,,,,,,2021-03-25,WOS:000624900900013,,
J,"Karimova, Natalya E.; Tulibayeva, Zhuldyz M.",,,,,,,,,,The Chinese and Timurid sources on the relationships between China and the Central Asia at the end of the XIV - the first quarter of the XV centuries,,,,,,,,VOPROSY ISTORII,,,,,7,,,64,79,,,,10.31166/VoprosyIstorii201907Statyi18,,,,,,,Article,2019,2019,"The publication is dedicated to the study of history of relationships between China and Central Asian states at the end of the 14th - the first quarter of the 15th centuries. The specific characteristics of their ambassadorial and trade relations, in the period under considerations, are researched on the basis of analysis of data collected from Chinese and Arabic-script sources. This work was prepared within the framework of a grant of the Ministry of Education and Science of the Republic of Kazakhstan aimed at funding basic and applied scientific research.",,,,,,,,,0,0,0,0,0,0,0,1,5,0042-8779,1938-2561,,,,,,,,,,,,,,2019-09-20,WOS:000483139200005,,
J,"Papatya, Nurhan",,,,,"PAPATYA, NURHAN/0000-0001-8942-8094",,,,,Can a Fair and Inclusive Political Economy Be Built with Ecosystem Marketing? An Epigenetic Review and Future Trends,,,,,,,,ESKISEHIR OSMANGAZI UNIVERSITESI IIBF DERGISI-ESKISEHIR OSMANGAZI UNIVERSITY JOURNAL OF ECONOMICS AND ADMINISTRATIVE SCIENCES,,,,17.0,1,,,127,145,,,,10.17153/oguiibf.994730,,,,,,,Article,APR 2022,2022,"This study examines the relationship between ecosystem marketing and fair and inclusive political economy discourse in the context of the changing dynamics of the world market. The purpose of revealing this relationship is to try to understand and clarify the ecosystem marketing field. The study first by observing the existing conditions then tries to deduce what is needed for such complex phenomena to appear and function as they are. Then it reveals the integrity of the ecosystem marketing knowledge. Thus, with the aforementioned discourse fair and inclusive political economy, it is aimed to explore to discover a transdisciplinary field that can extend from economics to political science and from sociology to ethics in the field of ecosystem marketing.",,,,,,,,,0,0,0,0,0,0,0,0,2,1306-6730,,,,,,,,,,,,,,,2022-05-03,WOS:000785014800007,,
J,"Kadyrov, Shirali; Orynbassar, Alibek; Saydaliev, Hayot Berk",,,,"Kadyrov, Shirali/C-9688-2018; Hayot Berk, Saydaliev/AAG-8199-2021; Orynbassar, Alibek/AGI-2514-2022","Orynbassar, Alibek/0000-0002-2943-9987",,,,,Purely Data-driven Exploration of COVID-19 Pandemic After Three Months of the Outbreak,,,,,,,,JOURNAL OF MATHEMATICAL AND FUNDAMENTAL SCIENCES,,,,53.0,3,,,358,368,,,,10.5614/j.math.fund.sci.2021.53.3.2,,,,,,,Article,2021,2021,"Many research studies have been carried out to understand the epidemiological characteristics of the COVID-19 pandemic in its early phase. The current study is yet another contribution to better understand the disease properties by parameter estimation based on mathematical SIR epidemic modeling. The authors used Johns Hopkins University's dataset to estimate the basic reproduction number of COVID-19 for five representative countries (Japan, Germany, Italy, France, and the Netherlands) that were selected using cluster analysis. As by products, the authors estimated the transmission, recovery, and death rates for each selected country and carried out statistical tests to see if there were any significant differences.",,,,,,,,,0,0,0,0,0,0,0,1,2,2337-5760,,,,,,,,,,,,,,,2021-12-18,WOS:000728573500002,,
J,"Sayim, Seda; Omurbek, Vesile",,,,,,,,,,"ESTIMATION OF REVENUES IN A METROPOLITAN MUNICIPALITY WITH GRAY ESTIMATED GM (1,1) MODEL",,,,,,,,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,,,,8.0,3,,,1782,1805,,,,10.30798/makuiibf.978524,,,,,,,Article,NOV 2021,2021,"Municipalities, one of the important elements of the public sector, are of great importance in meeting the demands of the society. In line with these demands, it is aimed to meet the right needs with minimum expenditure. A strategy is determined as a result of the expenses incurred and the revenues obtained, and a report on financial status and expectations for the upcoming period is prepared. In this study, future revenue estimates will be made by considering the revenues of a metropolitan municipality using the GM (1,1) method. The revenues of the metropolitan municipality for the years 2019-2023; Tax Revenues, Enterprise and Property Revenues, Donations and Aids Received, Other Revenues, Capital Revenues, Collections from Receivables, Rejection and Refunds and Revenue Total were estimated by GM (1.1) method. As a result of the estimation; For the total of Tax Revenues, Enterprise and Property Revenues, Donations and Aids Received, Other Revenues and revenues, there is an increasing trend in the estimated values of 2019-2023 future period. However, there is a decreasing trend in the estimated values of 2019-2023 future period for Capital Incomes.",,,,,,,,,0,0,0,0,0,0,2,0,2,2149-1658,,,,,,,,,,,,,,,2021-12-10,WOS:000725183600026,,
J,"Ostapenko, V. F.; Krasnoperov, V. A.",,,,,,,,,,Analysis of natural neutron flux in a seismically active zone,,,,,,,,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,,,3.0,6,,,777,780,,,,10.5194/nhess-3-777-2003,,,,,,,Article,2003,2003,"In a seismically active zone in the near Almaty area (Kazakhstan) since 1996 observations of variations of a natural neutron flux have been conducted. Sometimes the neutron flux rises sharply within the one-hour interval in comparison with the background. It occurs on the eve of activation of seismic processes. Increase of the neutron flux level had taken place from 1 h to 10 days prior to earthquakes. It is also indicated a tendency of growth of the anomaly level in accordance with the growth of energetic class of the subsequent earthquake.A character of connection between the neutron flux and earthquakes is still not clear. It is proposed that the neutron flux anomalies caused by variations of cosmic radiation intensity under action of fluxes of solar material, which is burst into interplanetary space (solar wind) during solar flares. Energy of the solar wind transferred to Earth puts into action a trigger mechanism of the process of initiation of earthquakes at those places where conditions have already been prepared for them.The neutron flux anomalies can be used as substantial additional information for classical geophysical methods of short-term earthquake prediction.",,,,,,,,,0,0,0,0,0,0,0,0,2,1561-8633,,,,,,,,,,,,,,,2003-01-01,WOS:000208898100027,,
J,"Balta, Nuri; Japashov, Nursultan; Karimova, Ainur; Agaidarova, Shakhrizat; Abisheva, Sholpan; Potvin, Patrice",,,,"BALTA, NURİ/AAD-6854-2021; Japashov, Nursultan/LPP-8932-2024; Agaidarova, Shakhrizat/JPL-5646-2023","Karimova, Ainur/0000-0001-9824-8140; Japashov, Nursultan/0000-0002-6338-8132; Agaidarova, Shakhrizat/0000-0003-0047-9886",,,,,"Middle and high school girls' attitude to science, technology, engineering, and mathematics career interest across grade levels and school types",,,,,,,,FRONTIERS IN EDUCATION,,,,8.0,,,,,,1158041,,,10.3389/feduc.2023.1158041,,,,,,,Article,MAY 17 2023,2023,"The aim of this study is to examine Kazakh female students' interest in STEM professions. A convenient sampling method was used to determine the participants from 10 girls' schools in Almaty city in Kazakhstan. 522 girls from grades 7th to 11th provided answers to the STEM Career Interest Survey which was administered online. Collected data was analyzed to see how girls' STEM carries interest change according to the type of school and grade level, along with locating the correlations between their interests and their end-term marks in each STEM subject. MANOVA analysis showed that girls' career interests in different STEM subjects are changing for different school levels across types of schools. Through ANOVA analysis we showed that only girls' math interest significantly changed across school levels. Post-hoc analyses indicated that seventh level students' interest in math was statistically higher than eighth and ninth level students. For the school type variable, ANOVA analysis showed that only girls' technology and engineering interests were significantly different across school types. In other words, girls in Nazarbayev Intellectual Schools (NIS) were significantly more interested in technology and engineering careers than public school girls while for science and mathematics there was no difference between the two types of schools. Additionally, at the 8th and 11th school levels NIS girls have a higher interest in science while at the 10th level public school girls have higher scores. Finally, we detected significant correlations of modest amplitude between girls' STEM were analyzed rest and their achievement in physics, math, chemistry, and biology. This study will allow supporting teachers and school administrators in their efforts to encourage girls to pursue STEM studies and careers, and we hope it will also help researchers to orient their efforts in providing them with fertile and durable solutions.",,,,,,,,,15,0,0,0,1,0,18,3,16,,2504-284X,,,,,,,,,,,,,,2023-06-14,WOS:000998405000001,,
J,"Kirzioglu, Fatma Yesim; Fentoglu, Ozlem; Bulut, Memduha Tozum; Dogan, Burak; Ozdem, Muhsin; Ozmen, Ozlem; Carsancakli, Suleyman Akif; Ergun, Ayse Gul; Orhan, Hikmet",,,,"Ozmen, Ozlem/GQR-2698-2022; Orhan, Hikmet/A-1089-2016; KIRZIOĞLU, Fatma Yeşim/AGQ-2082-2022; Fentoğlu, Özlem/GQH-3453-2022","Ozmen, Ozlem/0000-0002-1835-1082;",,,,,Is a Cholestrol-Enriched Diet a Risk Factor for Alveolar Bone Loss?,,,,,,,,JOURNAL OF PERIODONTOLOGY,,,,87.0,5,,,529,538,,,,10.1902/jop.2016.150509,,,,,,,Article,MAY 2016,2016,"Background: This study aims to investigate the effects of a 2% cholesterol-enriched diet on alveolar bone loss (ABL) and serum levels of pro-oxidants and antioxidant enzymes in rats with experimental periodontitis.Methods: Rats were randomized into the four groups: 1) group C (standard diet/periodontally healthy); 2) group Hc (high-cholesterol diet); 3) group HcP (high-cholesterol diet/periodontitis); and 4) group P (standard diet/periodontitis). All rats were fed for 8 weeks. At 6 weeks, experimental periodontitis was induced. At the end of week 8, the rats were sacrificed. Histomorphometric and histopathologic analyses were performed. Malondialdehyde (MDA), nitric oxide (NO), superoxide dismutase, and glutathione peroxidase (GPX) levels in serum were measured with enzyme-linked immunosorbent assay.Results: Experimental groups exhibited increases in: 1) total cholesterol, 2) low-density lipoprotein, and 3) high-density lipoprotein compared to group C. The cholesterol-enriched diet induced ABL in group Hc; groups HcP and P had more extensive ABL. The most polymorphonuclear leukocyte infiltration in periodontal tissues was found in group HcP. MDA levels were higher in all experimental groups than in group C, but significant in the HcP group. A high-cholesterol diet, with or without periodontitis, resulted in more decreases in GPX and more increases in NO compared to group P.Conclusion: Although any additive effect of cholesterol-enriched diet to ABL was not found in rats with ligature-induced experimental periodontitis, these findings revealed that a cholesterol-enriched diet could lead to ABL and an increase in periodontal inflammation and serum pro-oxidants.",,,,,,,,,17,0,0,0,11,1,18,0,14,0022-3492,1943-3670,,,,,,,,,,,,,,2016-06-01,WOS:000375843400009,26751342.0,
J,"Kuvat, Samet Vasfi; Tagil, Sueleyman Murat",,,,,,,,,,A rare nerve variation: duplication of the digital nerves in the index finger,,,,,,,,ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,,,,43.0,5,,,453,455,,,,10.3944/AOTT.2009.453,,,,,,,Article,SEP-OCT 2009,2009,"We present a 36-year-old male patient who had an anatomic variation in the number of digital nerves in the index finger of the left hand. During flexor tendoplasty for a zone II flexor tendon injury in the index finger, duplication of the radial and ulnar digital nerves was detected at the level of the proximal phalanx, making a total of four digital nerves. Both radial and ulnar digital nerves gave off branches at the level of the metacarpophalangeal joint that ran to the distal index finger. One of digital nerves on the radial side was cut at the level of the proximal phalanx and was treated with neurorrhaphy. Complete sensory recovery in the distal area of the index finger was achieved within a follow-up of six months. Such variations in the digital nerves may lead to insufficient repair if they are gone unnoticed.",,,,,,,,,1,0,0,0,1,0,1,0,1,1017-995X,,,,,,,,,,,,,,,2009-09-01,WOS:000271857900015,19881329.0,
J,"Kamalova, Alina",,,,,"KAMALOVA, Alina/0000-0003-4798-5583",,,,,It's your fault,,,,,,,,LANGUAGE-CULTURE AND SOCIETY,,,,6.0,2,,,190,222,,,,10.1075/lcs.24028.kam,,,,,FEB 2025,,Article,DEC 31 2024,2024,"While the problem still remains decriminalised in Russia, this study explores domestic violence victims' storytelling in four episodes of the popular Russian talk show Pust' Govoryat, which aired from 2017 to 2020. By drawing upon De Fina's (2021) narratives-as-practice approach and van Leeuwen's (2008) CDA theory, I critically examine storytelling as a discourse practice itself and situate constructed identities, norms, and values in wider dominant discourses of country's social and political life. Corpus-assisted discourse analysis (Baker 2012) helps to analyse the representation of abusers and victims. Qualitative and quantitative analyses suggest that the show, broadcast on the main state-funded federal channel, propagates a family ideology that supports victim-blaming, normalises and depolitisises domestic violence. The research indicates that such an anti-feminist, misogynist, and patriarchal discourse becomes an integral part of the state's anti-Western and anti-liberal ideology and resonates with the general increase in epistemological violence in today's Russia.",,,,,,,,,0,0,0,0,0,0,1,4,6,2543-3164,2543-3156,,,,,,,,,,,,,,2025-02-23,WOS:001423383800001,,
J,"Bakhytzhamal, Sadyrbayeva; Dinara, Yertargynkyzy; Gao, Chunhai",,,,,,,,,,"Social and Pedagogical Support for Children With Special Educational Needs: A Systematic Review of Inclusive Practices, Instructional Strategies and Support Measures in Mainstream Schools",,,,,,,,EUROPEAN JOURNAL OF EDUCATION,,,,61.0,1,,,,,e70429,,,10.1111/ejed.70429,,,,,,,Review,JAN 12 2026,2026,"This systematic review examines teachers' roles in delivering instructional practices and support systems that enhance learning opportunities for students with special educational needs (SEN) in inclusive classrooms. It also explores how social-pedagogical support influences the academic progress, emotional well-being and social participation of these learners. Using PRISMA guidelines, empirical studies published from 2014 to 2024 in major databases such as PubMed, Scopus and Web of Science were analysed. Findings show that teachers are central to inclusive education, applying strategies like scaffolding, differentiated instruction, cooperative learning and technology-based support to promote equitable outcomes. Collaboration among educators, specialists and families further strengthens students' adjustment and peer interactions. However, challenges such as limited training, insufficient resources and high student-teacher ratios hinder effective implementation. This review underscores the need for continued capacity building, stronger policies and supportive school cultures. It offers practical guidance to advance research, training and policy toward sustainable, impactful, inclusive education.",,,,,,,,,0,0,0,0,0,0,0,9,9,0141-8211,1465-3435,,,,,,,,,,,,,,2026-01-16,WOS:001659498800001,,
J,"Golunov, Serghei",,,,,,,,,,Beyond Eurocentrism: Rethinking Cross-Border Cooperation in a Global Context,,,,,,,,ALTERNATIVES,,,,,,,,,,,,,10.1177/03043754251380323,,,,,SEP 2025,,Article; Early Access,,2025,"This paper analyses the limitations of Eurocentric approaches to cross-border cooperation (CBC) studies, arguing that the European experience should not serve as a universal conceptual or practical benchmark. Globally, European CBC is more the exception than the rule, shaped by favorable conditions: strong political backing for regional integration, a democratic environment enabling cross-border interaction, legal frameworks supporting CBC institutions, and generous funding managed through efficient governance. By contrast, in most regions, CBC unfolds under political centralization, strict state control over formal and informal cross-border exchanges, limited financial resources, and a widespread informal border economy-largely overlooked in Eurocentric frameworks. Still, the EU model should not be dismissed. Among other things, it provides a toolkit from which specific elements-such as funding mechanisms, guidance on overcoming CBC obstacles, and cooperative aspects of integrated border management-can be selectively adapted to different contexts. Even authoritarian regimes may benefit from modified CBC institutions, provided they focus on a narrow set of depoliticized technical issues. Many partner states may also find value in the EU's competitive, project-based funding model and in its technical guidelines addressing common CBC challenges.",,,,,,,,,0,0,0,0,0,0,0,2,2,0304-3754,2163-3150,,,,,,,,,,,,,,2025-09-23,WOS:001571902900001,,
